dage,nye smittede
0,333
1,457
2,542
3,427
4,441
5,426
6,368
7,380
8,477
9,573
10,607
11,670
12,618
13,544
14,564
15,587
16,789
17,767
18,700
19,753
20,591
21,752
22,756
23,1127
24,1247
25,1270
26,1262
27,1349
28,1411
29,1253
30,1871
31,1847
32,1784
33,1671
34,1532
35,1457
36,1981
37,1978
38,2598
39,2251
40,2097
41,2416
42,2294
43,2562
44,3017
45,2132
46,4585
47,2948
48,3223
49,3670
50,3899
51,3907
52,4013
53,4070
54,3795
55,3415
56,3711
57,4199
58,4426
59,4390
60,4076
61,3744
62,4290
63,4326
64,4148
65,5120
66,4680
67,4559
68,4325
69,3026
70,7146
71,6324
72,6629
73,6985
74,6599
75,5606
76,5989
77,7799
78,8314
